1st ->;UB;UR;UL;LU;LF;LD;LB;FR;FD;FL;RU;RB;RD;RF;BU;BL;BD;BR;DF;DR;DB;DL
UB;;4-Mover;4-Mover;4-Mover;U-Swap;U-Swap;U-Swap;4-Mover;E-Swap;4-Mover;4-Mover;U-Swap;U-Swap;U-Swap;;4-Mover;4-Mover;4-Mover;4-Mover;4-Mover;4-Mover;4-Mover
UR;4-Mover;;4-Mover;S-Swap;U-Swap;U-Swap;U-Swap;U-Swap;M-Swap;U-Swap;;U-Swap;U-Swap;U-Swap;M-Swap;U-Swap;Alg;U-Swap;F-Swap;4-Mover;M-Swap;Alg
UL;4-Mover;4-Mover;;;U-Swap;U-Swap;U-Swap;U-Swap;M-Swap;U-Swap;S-Swap;U-Swap;U-Swap;U-Swap;M-Swap;U-Swap;Alg;U-Swap;F-Swap;Alg;M-Swap;4-Mover
LU;4-Mover;S-Swap;;;U-Swap;4-Mover;U-Swap;U-Swap;M-Swap;U-Swap;4-Mover;4-Mover;4-Mover;4-Mover;M-Swap;4-Mover;Alg;E-Swap;4-Mover;S-Swap;M-Swap;S-Swap
LF;U-Swap;U-Swap;U-Swap;U-Swap;;S-Insert;4-Mover;E-Swap;M-Swap;;4-Mover;4-Mover;4-Mover;4-Mover;M-Swap;E-Swap;E-Swap;E-Swap;F-Swap;4-Mover;M-Swap;4-Mover
LD;U-Swap;U-Swap;U-Swap;4-Mover;S-Insert;;S-Insert;E-Swap;S-Swap;4-Mover;4-Mover;4-Mover;4-Mover;4-Mover;M-Swap;4-Mover;E-Swap;E-Swap;4-Mover;S-Swap;S-Swap;
LB;U-Swap;U-Swap;U-Swap;U-Swap;4-Mover;S-Insert;;E-Swap;M-Swap;E-Swap;4-Mover;4-Mover;4-Mover;4-Mover;M-Swap;;U-Swap;E-Swap;4-Mover;4-Mover;M-Swap;4-Mover
FR;4-Mover;U-Swap;U-Swap;U-Swap;E-Swap;E-Swap;E-Swap;;M-Swap;4-Mover;U-Swap;E-Swap;4-Mover;;M-Swap;4-Mover;M-Swap;4-Mover;4-Mover;Alg;M-Swap;4-Mover
FD;E-Swap;M-Swap;M-Swap;M-Swap;M-Swap;S-Swap;M-Swap;M-Swap;;M-Swap;M-Swap;M-Swap;S-Swap;M-Swap;S-Swap;M-Swap;Alg;M-Swap;;4-Mover;S-Swap;4-Mover
FL;4-Mover;U-Swap;U-Swap;U-Swap;;4-Mover;E-Swap;4-Mover;M-Swap;;U-Swap;E-Swap;E-Swap;E-Swap;M-Swap;4-Mover;4-Mover;4-Mover;4-Mover;4-Mover;M-Swap;Alg
RU;4-Mover;;S-Swap;4-Mover;4-Mover;4-Mover;4-Mover;U-Swap;M-Swap;U-Swap;;U-Swap;4-Mover;U-Swap;M-Swap;U-Swap;Alg;4-Mover;4-Mover;S-Swap;M-Swap;S-Swap
RB;U-Swap;U-Swap;U-Swap;4-Mover;4-Mover;4-Mover;4-Mover;E-Swap;M-Swap;U-Swap;U-Swap;;S-Insert;4-Mover;M-Swap;E-Swap;U-Swap;;4-Mover;4-Mover;M-Swap;4-Mover
RD;U-Swap;U-Swap;U-Swap;4-Mover;4-Mover;4-Mover;4-Mover;4-Mover;S-Swap;E-Swap;4-Mover;S-Insert;;S-Insert;M-Swap;E-Swap;E-Swap;4-Mover;4-Mover;;S-Swap;S-Swap
RF;U-Swap;U-Swap;U-Swap;4-Mover;4-Mover;4-Mover;4-Mover;;M-Swap;E-Swap;U-Swap;4-Mover;S-Insert;;M-Swap;E-Swap;E-Swap;E-Swap;F-Swap;4-Mover;M-Swap;4-Mover
BU;;M-Swap;M-Swap;M-Swap;M-Swap;M-Swap;M-Swap;M-Swap;S-Swap;M-Swap;M-Swap;M-Swap;M-Swap;M-Swap;;M-Swap;S-Swap;M-Swap;S-Swap;M-Swap;S-Swap;M-Swap
BL;4-Mover;U-Swap;U-Swap;4-Mover;E-Swap;4-Mover;;4-Mover;M-Swap;4-Mover;U-Swap;E-Swap;E-Swap;E-Swap;M-Swap;;M-Swap;4-Mover;4-Mover;4-Mover;M-Swap;Alg
BD;4-Mover;Alg;Alg;Alg;E-Swap;E-Swap;U-Swap;M-Swap;Alg;4-Mover;Alg;U-Swap;E-Swap;E-Swap;S-Swap;M-Swap;;M-Swap;S-Swap;4-Mover;;4-Mover
BR;4-Mover;U-Swap;U-Swap;U-Swap;E-Swap;E-Swap;E-Swap;4-Mover;M-Swap;4-Mover;4-Mover;;4-Mover;E-Swap;M-Swap;4-Mover;M-Swap;;4-Mover;Alg;M-Swap;4-Mover
DF;4-Mover;F-Swap;F-Swap;4-Mover;F-Swap;4-Mover;4-Mover;4-Mover;;4-Mover;4-Mover;4-Mover;4-Mover;F-Swap;S-Swap;4-Mover;S-Swap;4-Mover;;F-Swap;Alg;F-Swap
DR;4-Mover;4-Mover;Alg;S-Swap;4-Mover;S-Swap;4-Mover;Alg;4-Mover;4-Mover;S-Swap;4-Mover;;4-Mover;M-Swap;4-Mover;4-Mover;Alg;F-Swap;;F-Swap;4-Mover
DB;4-Mover;M-Swap;M-Swap;M-Swap;M-Swap;S-Swap;M-Swap;M-Swap;S-Swap;M-Swap;M-Swap;M-Swap;S-Swap;M-Swap;S-Swap;M-Swap;;M-Swap;Alg;F-Swap;;F-Swap
DL;4-Mover;Alg;4-Mover;S-Swap;4-Mover;;4-Mover;4-Mover;4-Mover;Alg;S-Swap;4-Mover;S-Swap;4-Mover;M-Swap;Alg;4-Mover;4-Mover;F-Swap;4-Mover;F-Swap;
